link,number_of_rooms,number_of_bedrooms,number_of_bathrooms,area_type,area_value,occupancy,additional_features,year_built,parking_total,Title,Price,Location
https://www.centris.ca/en/condos-apartments~for-rent~longueuil-saint-hubert/22804502?view=Summary&uc=3,5 rooms,2 bedrooms,1 bathroom,N/A,N/A,30 days after acceptance of promise to rent,"Smoking not allowed, Semi-furnished","2021, New",Driveway (1),"Condo / Apartment for rent in Longueuil (Saint-Hubert), Montérégie, 3660, Rue Médard-Émard, apt. 101, 22804502 - Centris.ca","$1,950 /month","3660, Rue Médard-Émard, apt. 101
Longueuil (Saint-Hubert)
Neighbourhood Le Boisé de Saint-Hubert"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22644017?view=Summary&uc=3,3 rooms,2 bedrooms,2 bathrooms,Gross area,877 sqft,2024-06-01,"Elevator, Roof terrace, Fitness room, Bicycle storage area, Near the REM",2023,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 950, Rue Saint-Antoine Ouest, apt. 805, 22644017 - Centris.ca","$3,350 /month","950, Rue Saint-Antoine Ouest, apt. 805
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/12641038?view=Summary&uc=3,8 rooms,3 bedrooms,2 bathrooms,Gross area,"1,392 sqft",5 days after acceptance of promise to purchase or rent,Near the REM,1958,Driveway (1),"Condo for sale in Montréal (Ville-Marie), Montréal (Island), 1179, Rue De Bleury, apt. 3, 12641038 - Centris.ca","$5,300 /month","1179, Rue De Bleury, apt. 3
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22177854?view=Summary&uc=3,5 rooms,1 bedroom,1 bathroom,Gross area,380 sqft,2024-03-28,"Elevator, Semi-furnished, Internet included, Near the REM","2023, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1230, Rue Bishop, apt. 802, 22177854 - Centris.ca","$1,740 /month","1230, Rue Bishop, apt. 802
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/21428981?view=Summary&uc=3,6 rooms,3 bedrooms,1 bathroom,Gross area,982 sqft,2024-06-01,Semi-furnished,2023,N/A,"Condo / Apartment for rent in Montréal (Villeray/Saint-Michel/Parc-Extension), Montréal (Island), 8435, Rue Boyer, apt. 301, 21428981 - Centris.ca","$2,599 /month","8435, Rue Boyer, apt. 301
Montréal (Villeray/Saint-Michel/Parc-Extension)
Neighbourhood Villeray"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/23550647?view=Summary&uc=3,3 rooms,1 bedroom,1 bathroom,Gross area,545 sqft,2024-09-01,"Animals not allowed, Smoking not allowed, Elevator, Semi-furnished, Private balcony",N/A,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1155, Rue de la Montagne, apt. 3303, 23550647 - Centris.ca","$2,000 /month","1155, Rue de la Montagne, apt. 3303
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-anjou/27577840?view=Summary&uc=3,6 rooms,2 bedrooms,1 bathroom,Net area,968 sqft,15 days after acceptance of promise to rent,"Pets allowed with conditions, Smoking not allowed, Elevator, Semi-furnished, EV charging station, Fitness room, Bicycle storage area","2023, New",Garage (1),"Condo / Apartment for rent in Montréal (Anjou), Montréal (Island), 7051, boulevard des Galeries-d'Anjou, apt. 611, 27577840 - Centris.ca","$2,185 /month","7051, boulevard des Galeries-d'Anjou, apt. 611
Montréal (Anjou)"
https://www.centris.ca/en/houses~for-rent~montreal-le-sud-ouest/25319618?view=Summary&uc=3,10 rooms,4 bedrooms (1 in basement),2 bathrooms and 1 powder room,Lot area,980 sqft,2024-09-01,Furnished,N/A,N/A,"House for rent in Montréal (Le Sud-Ouest), Montréal (Island), 0727, Rue Charlevoix, 25319618 - Centris.ca","$4,500 /month","0727, Rue Charlevoix
Montréal (Le Sud-Ouest)
Neighbourhood Pointe-Saint-Charles"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/24240774?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Gross area,654 sqft,2024-07-01,N/A,N/A,N/A,"Condo / Apartment for rent in Montréal (LaSalle), Montréal (Island), 1819, Avenue Dollard, apt. 512, 24240774 - Centris.ca","$1,690 /week","1819, Avenue Dollard, apt. 512
Montréal (LaSalle)"
https://www.centris.ca/en/condos-apartments~for-rent~mont-royal/23679106?view=Summary&uc=3,10 rooms,2 bedrooms,2 bathrooms,Net area,"1,566 sqft",2024-05-01,N/A,2002,Garage (1),"Condo / Apartment for rent in Mont-Royal, Montréal (Island), 1400, Croissant Merit, apt. 209, 23679106 - Centris.ca","$4,300 /month","1400, Croissant Merit, apt. 209
Mont-Royal"
